age,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn
47,1.0454809461012622,86.36758667388033,1028.230270204767,One year,Credit card,DSL,1,1,1,0,1,1,0
37,0.13657876114710152,77.08241779177035,100.93868289895599,Month-to-month,Electronic check,DSL,1,0,1,1,1,1,0
49,0.8579399945987614,111.07277504209577,1068.1391008671249,Month-to-month,Bank transfer,Fiber optic,1,0,1,0,1,1,1
62,0.23531180975614502,35.41111553720552,138.25719933827446,Month-to-month,Electronic check,DSL,1,1,1,0,1,1,0
36,3.3029714201509606,90.18466479573598,3687.021698804849,Month-to-month,Electronic check,No,1,1,0,1,0,1,0
36,5.901059970123997,87.92881740801455,6052.201498133216,One year,Electronic check,Fiber optic,1,1,1,1,0,0,0
63,0.15012926746491154,45.532423239459305,122.9728452263333,Month-to-month,Electronic check,Fiber optic,1,1,0,1,0,0,1
51,6.2073124681373715,85.1426667294632,6314.418463951229,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1,0,1
32,1.4787030987775223,71.72289926052457,1284.021919874818,One year,Credit card,Fiber optic,1,1,0,1,1,1,0
48,0.7121093525572041,60.45047480093184,562.467581834635,Two year,Mailed check,DSL,1,1,1,1,1,1,0
33,0.15995324947914416,48.52129026056001,74.31341267588576,Month-to-month,Mailed check,No,1,1,1,1,1,1,0
33,1.3887929935427872,50.61781097101628,833.2132493596695,Month-to-month,Mailed check,No,0,1,1,1,1,1,0
43,3.1647697803952357,105.99624191571851,4004.0569222484814,Month-to-month,Credit card,DSL,1,1,1,1,1,0,0
18,2.4557557155672995,65.01365637914965,2012.9235190951304,One year,Credit card,DSL,1,1,0,1,0,1,0
18,0.10306245899209292,80.64260003062918,141.6106919168193,Month-to-month,Bank transfer,DSL,1,1,1,1,1,1,1
31,0.15139164811650496,49.182012366648934,111.4073046922158,One year,Credit card,Fiber optic,1,1,1,0,1,1,0
24,1.0312518624321754,49.40294107556723,484.2673278164404,Month-to-month,Mailed check,Fiber optic,1,1,1,0,1,1,0
44,0.699939218760098,86.63969618499884,689.8522808147686,Month-to-month,Mailed check,No,0,1,1,0,0,1,0
26,0.528932183465119,38.008475768969355,331.11378897786176,Two year,Bank transfer,Fiber optic,1,0,0,0,1,1,0
18,0.6598003569110232,56.69572464189457,452.66396956100584,Month-to-month,Bank transfer,Fiber optic,0,0,0,0,1,1,1
61,3.254010062313432,65.68054822144464,2630.655124689035,Month-to-month,Mailed check,Fiber optic,1,1,1,1,0,0,1
36,5.296585189086856,67.22745203680105,4449.5623011307725,Month-to-month,Mailed check,Fiber optic,1,1,0,0,0,0,1
41,1.0387329683550672,61.41813429967687,869.425098344084,Month-to-month,Credit card,Fiber optic,1,0,0,1,0,0,0
18,4.7312841364857805,72.91639562191847,4149.174064518423,One year,Credit card,Fiber optic,1,1,1,1,1,0,0
31,0.7757289281144991,78.85711511635623,682.9620275813794,Month-to-month,Mailed check,Fiber optic,1,0,1,0,0,1,1
41,1.2941957719790484,79.6927509091866,982.3012958029954,Month-to-month,Bank transfer,Fiber optic,0,0,1,1,1,1,0
22,0.5124417419455772,45.283923826643466,261.6259814469868,Month-to-month,Electronic check,Fiber optic,0,1,1,0,1,1,1
45,2.0459489239430892,59.316898041424054,1423.7108750522368,One year,Electronic check,Fiber optic,1,1,1,1,1,1,0
30,7.7246679359526444,88.89525723753876,8279.272738332473,One year,Mailed check,Fiber optic,1,0,0,1,1,1,0
35,1.850123651620192,82.89294375147745,1824.955826746899,One year,Mailed check,Fiber optic,1,1,1,0,0,0,0
30,0.8857548572133683,37.542810970378724,367.00622010179603,One year,Electronic check,Fiber optic,0,0,1,1,1,1,0
67,2.0872112369509677,72.02959800704403,1626.151943189638,Month-to-month,Credit card,Fiber optic,0,1,0,1,0,1,1
39,0.26231568850462134,25.435495012503793,0.0,Month-to-month,Mailed check,Fiber optic,0,0,0,0,1,1,1
24,4.390316871332613,65.93869804120739,3521.5664458882898,Month-to-month,Bank transfer,DSL,0,0,1,1,0,1,0
52,1.3986683644064692,102.95534033491954,1899.595292791109,Month-to-month,Electronic check,DSL,1,1,1,1,1,0,0
21,1.1933108238122037,46.04214565462027,649.5585507597942,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1,1,0
